[ 2016-01-19T18:53:16+08:00 ] 123.191.81.211 /weiphp3.0/
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000014s ]
INFO: Run Common\Behavior\InitHookBehavior [ RunTime:0.000351s ]
INFO: [ app_init ] --END-- [ RunTime:0.000478s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000046s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000079s ]
NOTIC: [8] Undefined index: uid /var/www/weiphp3.0/ThinkPHP/Library/Think/Controller.class.php 第 506 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
SQL: SELECT * FROM `wp_manager_menu` WHERE `uid` = 1 AND `is_hide` = 0 ORDER BY sort asc, id asc  [ RunTime:0.0001s ]
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined offset: 14 /var/www/weiphp3.0/Application/Common/Model/ManagerMenuModel.class.php 第 94 行.
NOTIC: [8] Undefined offset: 14 /var/www/weiphp3.0/Application/Common/Model/ManagerMenuModel.class.php 第 104 行.
NOTIC: [8] Undefined offset: 60 /var/www/weiphp3.0/Application/Common/Model/ManagerMenuModel.class.php 第 94 行.
NOTIC: [8] Undefined offset: 60 /var/www/weiphp3.0/Application/Common/Model/ManagerMenuModel.class.php 第 104 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined index: HTTP_REFERER /var/www/weiphp3.0/Application/Common/Model/ManagerMenuModel.class.php 第 127 行.
SQL: SELECT * FROM `wp_public_link` WHERE `uid` = 1  [ RunTime:0.0001s ]
SQL: SELECT * FROM `wp_user` WHERE `uid` = 1 LIMIT 1   [ RunTime:0.0001s ]
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /var/www/weiphp3.0/Application/Common/Common/function.php 第 501 行.
